Escenario 1: Palabras codigo de 7 digitos

	Simbolo		Informacion
	0000000		7.228819
	0000001		6.676278
	0000010		6.676278
	0000011		6.778157
	0000100		6.887782
	0000101		6.926256
	0000110		6.926256
	0000111		6.743392
	0001000		7.091315
	0001001		7.181513
	0001010		6.813781
	0001011		7.813781
	0001100		7.676278
	0001101		6.926256
	0001110		6.778157
	0001111		6.778157
	0010000		6.850307
	0010001		7.006426
	0010010		6.743392
	0010011		6.643856
	0010100		7.181513
	0010101		6.965784
	0010110		6.926256
	0010111		6.965784
	0011000		6.965784
	0011001		7.006426
	0011010		6.926256
	0011011		6.965784
	0011100		7.181513
	0011101		6.965784
	0011110		6.778157
	0011111		7.228819
	0100000		6.887782
	0100001		7.091315
	0100010		7.328354
	0100011		7.006426
	0100100		6.887782
	0100101		7.887782
	0100110		7.006426
	0100111		7.435270
	0101000		7.550747
	0101001		6.926256
	0101010		7.228819
	0101011		7.277728
	0101100		6.743392
	0101101		7.380822
	0101110		6.643856
	0101111		6.813781
	0110000		7.181513
	0110001		7.328354
	0110010		6.850307
	0110011		7.091315
	0110100		7.048246
	0110101		6.813781
	0110110		7.006426
	0110111		6.850307
	0111000		7.048246
	0111001		6.743392
	0111010		7.491853
	0111011		6.778157
	0111100		6.965784
	0111101		6.850307
	0111110		7.006426
	0111111		7.550747
	1000000		7.091315
	1000001		6.643856
	1000010		7.277728
	1000011		7.228819
	1000100		7.006426
	1000101		7.135709
	1000110		6.813781
	1000111		7.006426
	1001000		7.435270
	1001001		7.181513
	1001010		7.228819
	1001011		7.048246
	1001100		6.643856
	1001101		6.965784
	1001110		6.926256
	1001111		7.550747
	1010000		6.709445
	1010001		7.612147
	1010010		7.550747
	1010011		7.091315
	1010100		7.491853
	1010101		6.965784
	1010110		7.228819
	1010111		7.228819
	1011000		6.926256
	1011001		7.181513
	1011010		6.581120
	1011011		7.135709
	1011100		7.181513
	1011101		7.006426
	1011110		6.743392
	1011111		7.006426
	1100000		6.887782
	1100001		7.048246
	1100010		7.135709
	1100011		6.676278
	1100100		7.228819
	1100101		7.006426
	1100110		7.048246
	1100111		6.850307
	1101000		6.643856
	1101001		6.926256
	1101010		6.778157
	1101011		7.135709
	1101100		6.643856
	1101101		6.850307
	1101110		7.135709
	1101111		7.091315
	1110000		7.091315
	1110001		6.850307
	1110010		6.581120
	1110011		6.743392
	1110100		6.965784
	1110101		6.926256
	1110110		6.887782
	1110111		6.965784
	1111000		6.743392
	1111001		7.743392
	1111010		7.135709
	1111011		6.778157
	1111100		6.643856
	1111101		6.887782
	1111110		6.709445
	1111111		7.676278

Entropia=6.976745
