Escenario 1: Palabras codigo de 9 digitos

	Simbolo		Informacion
	000000000		10.188177
	000000001		10.188177
	000000010		9.773139
	000000011		8.965784
	000000100		8.072700
	000000101		10.188177
	000000110		9.188177
	000000111		9.451211
	000001000		9.773139
	000001001		9.188177
	000001010		8.773139
	000001011		9.188177
	000001100		10.773139
	000001101		9.773139
	000001110		8.773139
	000001111		8.188177
	000010000		8.451211
	000010001		8.965784
	000010010		8.313707
	000010011		8.965784
	000010100		8.773139
	000010101		9.773139
	000010110		8.965784
	000010111		9.773139
	000011000		8.188177
	000011001		8.773139
	000011010		8.188177
	000011011		10.188177
	000011100		8.773139
	000011101		9.451211
	000011110		8.603214
	000011111		8.965784
	000100000		9.188177
	000100001		9.451211
	000100010		9.773139
	000100011		9.188177
	000100100		9.451211
	000100101		9.773139
	000100110		8.603214
	000100111		8.965784
	000101000		9.451211
	000101001		8.603214
	000101010		9.451211
	000101011		8.603214
	000101100		8.603214
	000101101		8.965784
	000101110		7.965784
	000101111		8.603214
	000110000		8.313707
	000110001		10.773139
	000110010		8.965784
	000110011		9.451211
	000110100		9.451211
	000110101		9.773139
	000110110		8.313707
	000110111		10.188177
	000111000		7.965784
	000111001		8.965784
	000111010		9.773139
	000111011		9.451211
	000111100		7.965784
	000111101		8.603214
	000111110		10.188177
	000111111		8.603214
	001000000		9.773139
	001000001		8.773139
	001000010		8.965784
	001000011		8.603214
	001000100		9.451211
	001000101		8.773139
	001000110		8.773139
	001000111		8.773139
	001001000		9.451211
	001001001		8.603214
	001001010		9.188177
	001001011		9.451211
	001001100		9.773139
	001001101		8.773139
	001001110		8.773139
	001001111		8.965784
	001010000		9.773139
	001010001		9.773139
	001010010		9.451211
	001010011		8.603214
	001010100		9.188177
	001010101		10.773139
	001010110		9.773139
	001010111		8.603214
	001011000		9.773139
	001011001		8.773139
	001011010		9.451211
	001011011		8.773139
	001011100		8.965784
	001011101		8.965784
	001011110		9.451211
	001011111		9.451211
	001100000		8.451211
	001100001		9.451211
	001100010		8.313707
	001100011		10.188177
	001100100		8.313707
	001100101		8.773139
	001100110		9.188177
	001100111		9.188177
	001101000		9.773139
	001101001		8.965784
	001101010		8.773139
	001101011		8.965784
	001101100		8.773139
	001101101		9.188177
	001101110		9.188177
	001101111		8.965784
	001110000		9.451211
	001110001		8.773139
	001110010		8.603214
	001110011		9.188177
	001110100		8.773139
	001110101		8.603214
	001110110		8.965784
	001110111		9.451211
	001111000		8.313707
	001111001		8.773139
	001111010		9.451211
	001111011		8.451211
	001111100		11.773139
	001111101		9.451211
	001111110		9.188177
	001111111		8.451211
	010000000		9.188177
	010000001		8.603214
	010000010		7.866249
	010000011		8.603214
	010000100		8.965784
	010000101		10.188177
	010000110		8.451211
	010000111		9.773139
	010001000		8.603214
	010001001		10.773139
	010001010		9.188177
	010001011		9.451211
	010001100		9.188177
	010001101		9.188177
	010001110		8.451211
	010001111		9.188177
	010010000		8.965784
	010010001		9.773139
	010010010		8.451211
	010010011		9.188177
	010010100		8.773139
