Escenario 1: Palabras codigo de 5 digitos

	Simbolo		Informacion
	00000		4.893216
	00001		4.948711
	00010		5.074242
	00011		4.927649
	00100		5.051280
	00101		5.121290
	00110		4.991779
	00111		5.006426
	01000		4.934636
	01001		4.962924
	01010		5.169925
	01011		4.927649
	01100		5.169925
	01101		5.066547
	01110		5.021223
	01111		5.113341
	10000		4.934636
	10001		4.934636
	10010		5.153531
	10011		4.879669
	10100		5.021223
	10101		5.036174
	10110		4.962924
	10111		4.886426
	11000		4.913777
	11001		4.984511
	11010		5.186508
	11011		4.962924
	11100		4.999084
	11101		4.846349
	11110		4.962924
	11111		5.043707

Entropia=4.997224
